Pair,Interval,BB_Period,BB_Std,Threshold,Trend_MA,SL,TP,P1_PnL,P2_PnL,P3_PnL,P4_PnL,P5_PnL,P6_PnL,P7_PnL,P8_PnL,Mean_PnL,Trades,Accuracy,Sharpe,MaxDD,Score,Valid
SOL-USDT,4h,10,3.0,0.8,0,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,3.0,0.9,0,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,50,2.0,1.0,200,0.02,0.05,-18.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.25,98,25.5,0.45,35.0,0.00,False
SOL-USDT,4h,50,2.0,1.0,50,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,2.5,0.7,0,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,2.5,0.7,0,0.03,0.12,-18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.25,207,19.8,-0.32,60.7,0.00,False
SOL-USDT,1h,20,3.0,0.8,0,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,2.0,0.7,0,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,2.5,0.7,0,0.05,0.08,0.00,0.00,0.00,0.00,0.00,55.36,0.00,0.00,6.92,323,54.2,0.33,43.4,0.00,False
SOL-USDT,1h,10,2.5,0.8,0,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,2.5,0.9,200,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,50,3.0,0.8,0,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,20,3.0,0.8,0,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,20,2.0,0.7,100,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,2.5,1.0,0,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,2.5,0.9,0,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,3.0,0.9,0,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.06,-0.38,2,0.0,-66.30,1.6,0.00,False
SOL-USDT,4h,20,2.0,1.0,0,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,20,2.0,0.7,50,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,3.0,0.8,0,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,2.5,1.0,0,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,2.0,0.9,50,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,2.0,0.8,0,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,50,3.0,0.8,0,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.89,-1.49,61,34.4,-0.26,41.0,0.00,False
SOL-USDT,4h,30,2.0,0.8,0,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,2.0,1.0,0,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,3.0,0.8,0,0.02,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,50,3.0,0.8,100,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,20,2.5,0.9,200,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,20,2.5,0.7,0,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,2.0,0.8,200,0.02,0.05,0.00,0.00,0.00,0.00,0.00,53.37,0.00,0.00,6.67,298,41.3,0.06,18.8,0.00,False
SOL-USDT,1h,20,2.5,0.9,0,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,2.0,0.8,0,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.73,-20.97,-2.53,130,69.9,18.58,80.2,0.00,False
SOL-USDT,1h,50,3.0,0.8,0,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,2.5,1.0,100,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,3.0,1.0,0,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,50,2.0,0.7,200,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,50,2.0,1.0,100,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,3.0,0.8,0,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,20,2.5,0.9,0,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,3.0,0.9,100,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,2.5,1.0,50,0.02,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,2.5,0.7,0,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,2.5,0.9,50,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,2.5,0.7,100,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,50,2.5,0.7,0,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,3.0,1.0,200,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,2.0,0.8,100,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,2.5,0.7,0,0.05,0.03,8.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.07,366,60.9,-0.26,45.1,0.00,False
SOL-USDT,4h,10,2.0,0.9,0,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-49.89,-6.24,146,39.0,-0.69,72.9,0.00,False
SOL-USDT,4h,10,3.0,0.8,0,0.03,0.03,0.00,0.00,0.00,-32.62,0.00,0.00,0.00,0.00,-4.08,53,26.4,-1.23,42.0,0.00,False
SOL-USDT,1h,10,3.0,0.9,0,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,2.0,1.0,0,0.03,0.08,-0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,163,27.0,0.44,37.3,0.00,False
SOL-USDT,4h,20,3.0,1.0,0,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,20,2.0,1.0,50,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,3.0,0.9,0,0.03,0.12,0.00,0.00,0.00,-3.04,0.00,0.00,0.00,0.00,-0.38,2,0.0,-42.52,1.5,0.00,False
SOL-USDT,4h,30,3.0,0.9,0,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,3.0,1.0,0,0.02,0.12,0.00,0.00,0.00,-16.62,0.00,0.00,0.00,0.00,-2.08,37,10.8,-2.83,23.1,0.00,False
SOL-USDT,4h,50,2.0,0.7,0,0.02,0.08,0.00,0.00,0.00,-62.36,0.00,0.00,0.00,0.00,-7.79,379,17.9,-1.41,87.5,0.00,False
SOL-USDT,1h,20,2.0,0.8,0,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,50,2.0,1.0,50,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,20,3.0,0.8,0,0.02,0.03,0.00,0.00,0.00,0.00,0.00,4.14,0.00,0.00,0.52,311,41.8,0.29,29.7,0.00,False
SOL-USDT,4h,30,3.0,1.0,200,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,2.0,0.9,100,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,2.0,0.7,0,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,3.0,0.7,0,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,3.0,1.0,0,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-15.67,-1.96,15,0.0,-29.89,14.8,0.00,False
SOL-USDT,4h,30,2.0,0.9,50,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,3.0,1.0,0,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,50,3.0,1.0,200,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,3.0,0.9,0,0.02,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,20,2.5,0.9,0,0.03,0.03,0.00,0.00,0.00,0.00,0.00,-0.37,0.00,0.00,-0.05,333,49.8,-0.52,25.7,0.00,False
SOL-USDT,1h,20,2.5,0.8,0,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,3.0,0.8,0,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,20,2.5,1.0,100,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,3.0,0.7,200,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,20,3.0,0.9,100,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,50,2.5,0.8,0,0.02,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,20,2.0,1.0,0,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,50,2.0,0.7,0,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,3.0,0.7,200,0.03,0.08,0.00,0.00,-37.99,0.00,0.00,0.00,0.00,0.00,-4.75,35,11.4,-11.26,42.7,0.00,False
SOL-USDT,4h,50,2.5,0.9,0,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-35.90,-4.49,72,30.6,-0.53,62.8,0.00,False
SOL-USDT,1h,20,3.0,0.9,0,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,20,2.0,0.9,0,0.05,0.05,0.00,0.00,0.00,0.00,0.00,2.97,0.00,0.00,0.37,380,52.6,-1.13,64.5,0.00,False
SOL-USDT,4h,20,3.0,0.7,200,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,2.0,0.9,0,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,3.0,1.0,50,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,2.0,1.0,100,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.24,-0.78,34,44.1,0.52,12.6,0.00,False
SOL-USDT,1h,20,3.0,0.8,50,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,2.5,0.7,0,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,2.5,0.9,0,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,50,2.0,0.7,0,0.02,0.08,0.00,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.23,2,100.0,231410015782118.38,0.0,0.00,False
SOL-USDT,1h,20,2.0,0.9,0,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,2.5,0.8,50,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,2.0,1.0,100,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,50,2.5,0.9,100,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,50,2.0,1.0,100,0.05,0.12,0.00,0.00,-11.64,0.00,0.00,0.00,0.00,-4.94,-2.07,8,8.3,-1473.87,10.3,0.00,False
SOL-USDT,1h,10,2.5,1.0,50,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,3.0,0.7,0,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,3.0,0.7,50,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.23,-0.40,18,33.3,0.56,12.2,0.00,False
SOL-USDT,1h,10,3.0,0.8,0,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,3.0,0.8,0,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-40.19,-5.02,72,48.6,-1.26,55.6,0.00,False
SOL-USDT,4h,50,2.5,0.7,200,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,50,2.0,0.7,0,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,3.0,0.8,200,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,2.0,0.8,0,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,50,2.5,0.9,100,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,2.5,0.8,0,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,2.5,0.8,0,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,3.0,1.0,0,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,2.5,0.9,100,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.09,-1.14,10,40.0,-3.21,13.4,0.00,False
SOL-USDT,1h,50,2.0,0.7,0,0.05,0.05,0.00,0.00,0.00,0.00,0.38,2.87,0.00,0.00,0.41,369,76.3,2.27,47.3,0.00,False
SOL-USDT,4h,10,2.5,1.0,0,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,2.5,0.8,0,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.43,-1.68,148,27.0,-1.49,78.8,0.00,False
SOL-USDT,1h,50,3.0,1.0,100,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,50,2.5,0.8,0,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,30,2.0,1.0,0,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,2.5,0.9,50,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,2.0,0.8,0,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,3.0,1.0,200,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,2.5,0.7,0,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,50,2.0,0.7,200,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,2.5,0.8,100,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,2.5,0.8,100,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-33.70,-4.21,36,27.8,-0.02,43.6,0.00,False
SOL-USDT,4h,30,2.0,0.9,0,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,50,2.5,0.9,50,0.02,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,2.0,1.0,0,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.43,-1.68,148,27.0,-1.49,78.8,0.00,False
SOL-USDT,1h,50,2.5,0.9,50,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,50,2.0,0.7,0,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,2.5,0.8,0,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,2.5,0.7,100,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,3.0,0.9,0,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,3.0,0.8,0,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,3.0,1.0,0,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,3.0,0.7,0,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-32.81,-4.10,109,45.9,-1.19,55.6,0.00,False
SOL-USDT,1h,50,2.0,0.7,100,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,3.0,0.8,0,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,2.5,0.7,200,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,3.0,0.9,100,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,30,3.0,0.9,0,0.05,0.05,0.00,0.00,0.00,-67.92,0.00,0.00,0.00,0.00,-8.49,80,31.2,-0.58,76.1,0.00,False
SOL-USDT,1h,10,2.0,0.8,100,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,3.0,0.8,0,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,3.0,1.0,200,0.02,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.09,-0.26,2,0.0,-60.63,1.0,0.00,False
SOL-USDT,1h,30,2.5,0.8,50,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,2.0,0.9,0,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-51.76,-6.47,194,56.2,-0.85,60.9,0.00,False
SOL-USDT,4h,10,2.5,0.9,50,0.03,0.05,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,4,50.0,-0.64,1.6,0.00,False
SOL-USDT,1h,20,2.5,0.9,0,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,3.0,0.7,0,0.02,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,10,2.0,0.9,50,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,3.0,1.0,0,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,20,2.5,0.8,50,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,50,2.0,0.8,200,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,2.5,0.9,0,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,2.5,0.8,0,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,50,2.5,0.9,100,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,3.0,1.0,200,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,4h,20,3.0,1.0,200,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
SOL-USDT,1h,10,3.0,0.8,0,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0.00,0.0,0.00,False
